Country,A,C,C3L,C3M,C3H,DS,INF,M,RE,RM,RS,RS1,RS2,RS3,S,S1L,S1M,S3,S5,UCB,UFB,UFB1,W,W1,W2,W3,W5
AFG,1,,1,,,,,,,,1,,,,1,,,,,,1,,,,,,
AGO,1,,1,1,1,,1,,,,,,,,,,,,,1,1,,,,,,1
BDI,1,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,
BEN,1,,1,1,1,,,1,,,,,,,,,,,,1,1,,,,,1,
BFA,,,1,,,,1,1,,,,,,,,,,,,1,,,,,,,1
BGD,,,1,1,,,1,1,,,1,,,,1,,,,,,1,,,,,1,1
BTN,1,,1,,,,1,,1,,,1,,1,,,,,,1,1,,1,1,1,,
CAF,1,,1,,,,1,1,,,,,,,,,,,,1,1,,1,,,,1
COD,1,,1,,,,1,1,,,1,1,,,,,,,,1,1,,1,,,,1
COM,,,1,,,,1,,,,1,1,,,,,,,,1,1,,1,,,,
DJI,1,,1,,,,1,1,,,1,,,,1,,,,,1,1,,1,,,,1
ERI,,,1,1,,,1,,,,1,,,1,,,,1,,1,1,,1,,,,1
ETH,1,,1,1,,,1,1,,,1,,,,,,,,,,1,,1,,,,1
GIN,1,1,1,1,,,1,1,,,,,,,1,,,,,1,,,,,,,
GMB,1,,1,,,,1,1,,,,,,,,,,,,1,,,,,,,
GNB,1,1,1,1,,,1,1,,,,,,,,,,,,1,,,,,,,
HTI,,,1,,,,1,,,,1,,,,1,,,,,1,,,,,,1,
KHM,,,1,,,,1,,,,,,,,,,,1,,1,1,,,1,,1,1
KIR,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,
LAO,,,1,1,,,,,,,1,,,,,,,1,,1,1,,1,,,,
LBR,,,1,,,,1,,,,1,,,,,,,,,1,1,,1,,,,1
LSO,1,,1,,,,,,,,1,,1,1,,,,,,1,1,,,,,,1
MDG,1,,1,,,,1,,,,,,,,,,,,,1,1,,1,,,,1
MLI,1,,1,,,,,1,1,,,,,,1,,,,,1,,,1,,,,
MMR,,,1,1,,,1,1,,,,,,,1,,,,,,1,,1,,,,1
MOZ,1,,1,1,,,1,1,,1,,,,,1,1,1,,,1,1,,1,,,,
MRT,1,,1,,,,,1,,,,,,,,,,1,,1,,,,,,,1
MWI,1,,1,,,,,1,1,1,,,,,1,,,,,1,1,,1,,,,
NER,1,,1,,,,1,,,,,,,,,,,,,,1,,,,,,1
NPL,1,,1,1,1,,1,,,,1,,,,,,,1,1,,1,1,1,,,,1
RWA,1,,1,1,,,1,,,,1,,,,,,,,,1,1,,1,,,,1
SDN,1,,1,1,,,,1,,,,,,,,,,,,1,1,,1,,,,1
SEN,1,,1,1,,,,1,,,,,,,,,,1,,1,,,,,,,1
SLB,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,
SLE,1,,,,,,1,,,,1,,,,,,,,,1,1,,1,,,,1
SOM,1,,1,1,1,,1,1,,,1,,,,,,,,,1,,,1,,,,1
SSD,,,1,,,,1,1,,,,,,,,,,,,1,1,,1,,,,1
STP,,,1,,,,1,,,,,,,,,,,,,,1,,1,,,,
TCD,1,,1,1,1,,,1,,,,,,,,,,,,1,1,,,,,1,1
TGO,1,,1,,,,,1,,,1,,,,,,,,,1,1,,,,,,1
TLS,1,1,1,,,,1,,,,1,,,,,,,,,1,1,,1,,,,1
TUV,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,1
TZA,1,1,1,1,1,,1,,,,1,,,,,,,1,,1,1,,1,,,,1
UGA,1,,1,1,,,1,,,,1,,,,,,,1,,1,1,,,,,,1
VUT,,1,,,,,1,,,,,,,,,,,,,1,,,1,,,,1
YEM,1,1,1,1,,1,,1,,,1,,,,,,,,,1,,,,,,,1
ZMB,1,,1,,,,,1,,,1,,,,,,,,,1,1,,,,,,1
